,0
635796.png_0.png,Red
635796.png_1.png,Red
635796.png_2.png,RedLeft
645706.png_0.png,Green
645706.png_1.png,Green
645706.png_2.png,RedLeft
618108.png_0.png,Red
618108.png_1.png,Red
618108.png_2.png,Red
610676.png_0.png,Green
610676.png_1.png,Green
610676.png_2.png,Green
610676.png_3.png,Green
610676.png_4.png,Red
655370.png_0.png,Green
655370.png_1.png,Green
655370.png_2.png,Green
655370.png_3.png,Green
649432.png_0.png,Green
612760.png_0.png,Green
612760.png_1.png,Green
611788.png_0.png,Green
639746.png_0.png,Green
639746.png_1.png,Red
657384.png_0.png,Red
633948.png_0.png,Green
633948.png_1.png,Green
621976.png_0.png,Green
621976.png_1.png,Green
621976.png_2.png,Green
621976.png_3.png,Red
621976.png_4.png,Green
640580.png_0.png,Green
640580.png_1.png,Green
640580.png_2.png,Green
640580.png_3.png,Red
640580.png_4.png,Red
640580.png_5.png,Red
640580.png_6.png,RedLeft
609078.png_0.png,Green
609078.png_1.png,Green
609078.png_2.png,Green
639676.png_0.png,Red
657592.png_0.png,Red
657592.png_1.png,RedLeft
657592.png_2.png,RedLeft
612134.png_0.png,Green
612134.png_1.png,Green
612134.png_2.png,Green
641574.png_0.png,Red
641574.png_1.png,Red
641574.png_2.png,RedLeft
641574.png_3.png,RedLeft
641574.png_4.png,Red
637814.png_0.png,off
637814.png_1.png,Red
637814.png_2.png,Red
637814.png_3.png,off
631934.png_0.png,RedLeft
631934.png_1.png,Green
631934.png_2.png,Green
631934.png_3.png,Green
631934.png_4.png,Green
631934.png_5.png,Green
631934.png_6.png,RedLeft
631934.png_7.png,RedLeft
631934.png_8.png,RedLeft
634226.png_0.png,Red
634226.png_1.png,Red
634226.png_2.png,Red
634226.png_3.png,Red
635450.png_0.png,Red
635450.png_1.png,Red
635450.png_2.png,Red
635450.png_3.png,RedLeft
635450.png_4.png,Red
609564.png_0.png,Green
609564.png_1.png,Green
609564.png_2.png,Green
609564.png_3.png,RedLeft
632350.png_0.png,Green
632350.png_1.png,Green
632350.png_2.png,Green
632350.png_3.png,GreenLeft
609216.png_0.png,Green
609216.png_1.png,Green
609216.png_2.png,Green
624766.png_0.png,Green
624766.png_1.png,Green
624766.png_2.png,Green
638774.png_0.png,Green
638774.png_1.png,Green
638774.png_2.png,GreenLeft
638774.png_3.png,GreenLeft
634296.png_0.png,Red
634296.png_1.png,Red
